,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
18134,78818541481eafcdbe285005c317aabc549ec2a0,5.0,1.0,1.0,3.0,1.0,1.0,1995,10,21,,2015-01-01,0.0,0.0,1.0,0.0,Serviços
18350,0e5b67b1d127d724d87597ca0aadc381954ec90c,5.0,1.0,1.0,3.0,1.0,1.0,1996,9,10,42.0,2015-01-01,0.0,0.0,1.0,0.0,Serviços
18608,cc3fd5240160ae78a6a9bea33ab59ba68103e5f4,5.0,1.0,3.0,3.0,1.0,0.0,1998,4,27,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
18611,0d40c0a2f51d270078807cec60914f3946b08148,1.0,4.0,1.0,3.0,1.0,1.0,1995,6,17,43.0,2015-01-01,,,0.0,0.0,Serviços
19046,56e5a984ab77a32b4261465cbe52c2cc7a7571e6,5.0,3.0,3.0,3.0,1.0,2.0,1986,3,11,42.0,2011-01-01,0.0,,0.0,0.0,Serviços
19082,616c4c657fe67c6ab0b33725c1f3b1eb845abe83,1.0,4.0,1.0,3.0,1.0,1.0,1975,11,30,42.0,2015-01-01,,,1.0,0.0,Serviços
19328,8442f6d33765edfa6622a357ec3c39ce8e8ce8d7,5.0,1.0,3.0,3.0,1.0,1.0,1998,6,8,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
19445,36eb9cc10b4484f3d1d528c32c00aec8cd19f53d,5.0,1.0,3.0,3.0,1.0,0.0,1973,7,24,41.0,2014-01-07,1.0,0.0,0.0,0.0,Serviços
20532,aa5981675f44c97ab2ebaf47ded98d5f41ba7027,1.0,4.0,1.0,3.0,1.0,3.0,1977,2,8,53.0,2014-01-01,,,1.0,0.0,Serviços
20698,43cbb491528b3b016cb189b29414423be3891c94,1.0,4.0,1.0,3.0,1.0,2.0,1985,10,15,21.0,2015-01-01,,,1.0,0.0,Serviços
21248,b98ad60c481477321c47c13b7a96c0efcdc0642f,1.0,4.0,1.0,3.0,1.0,1.0,1997,12,29,,2015-01-01,,,1.0,0.0,Serviços
21732,9f790752c0edb18df0a31ffa8e76959035c5e9b5,5.0,3.0,3.0,3.0,1.0,1.0,1986,6,5,42.0,2011-01-01,0.0,,0.0,0.0,Serviços
21864,e7befa171dfc3aa3ff3e2efd510d564bad67313b,1.0,4.0,1.0,3.0,1.0,1.0,1952,9,1,42.0,2015-01-01,,,1.0,0.0,Serviços
22116,e55b1283567193ef7bb53e8fff0881d3c1af1164,1.0,4.0,1.0,3.0,1.0,1.0,1991,2,25,42.0,2013-01-01,,,0.0,0.0,Serviços
22245,5315966f19d140e6168b2afaf75af985a7a28f8b,1.0,4.0,1.0,3.0,1.0,1.0,1998,3,3,42.0,2016-01-01,,,0.0,0.0,Serviços
